Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
935,Need for Speed: Hot Pursuit 2,Racing,E,PS2,Electronic Arts,EA Seattle,8.7,,,2.11,1.68,0.31,0.02,0.09,2002
936,Project Gotham Racing (JP weekly sales),Racing,,XB,Microsoft,Bizarre Creations,,,,2.1,1.54,0.44,0.04,0.07,2002
937,Scooby-Doo! Night of 100 Frights,Platform,E,PS2,THQ,Heavy Iron Studios,,,,2.1,1.17,0.72,,0.22,2002
938,ARMS,Fighting,E10,NS,Nintendo,Nintendo EPD,7.9,,2.1,,,,,,2017
939,Killzone: Shadow Fall,Shooter,M,PS4,Sony Computer Entertainment,Guerrilla Games,9,,2.1,,,,,,2013
940,Kirby: Nightmare in Dream Land,Platform,E,GBA,Nintendo,HAL Laboratory,8.1,,2.1,,,,,,2002
941,Onimusha 2: Samurai's Destiny,Adventure,M,PS2,Capcom,Capcom,8.5,,2.1,,,,,,2002
942,Battlefield 4,Shooter,M,XOne,Electronic Arts,EA DICE,,,,2.09,1.26,0.65,,0.19,2013
943,Need for Speed: Most Wanted 5-1-0,Racing,E10,PSP,Electronic Arts,EA Black Box,7.4,,,2.09,1.77,0.13,0.02,0.17,2005
944,Derby Stallion,Sports,,PS,ASCII Entertainment,ParityBit,,,,2.09,,,1.96,0.14,1997
945,Just Dance 2015,Music,E10,Wii,Ubisoft,Ubisoft Paris,,,,2.09,1,0.91,,0.18,2014
946,Dark Souls III,Role-Playing,M,PS4,Namco Bandai Games,From Software,,,2.09,,,,,,2016
947,Finding Nemo,Action,E,PS2,THQ,Traveller's Tales,,,,2.09,1.26,0.6,0.05,0.18,2003
948,Madden NFL 15,Sports,E,X360,EA Sports,EA Tiburon,,,,2.09,1.8,0.06,,0.22,2014
949,Grand Theft Auto: Episodes from Liberty City,Adventure,M,PS3,Rockstar Games,Rockstar North,9,,,2.09,0.62,0.99,0.13,0.34,2010
950,Total War: WARHAMMER,Strategy,,PC,Sega,Creative Assembly,,,2.09,,,,,,2016
951,Tetris Worlds,Puzzle,E,PS2,THQ,Blue Planet Software,,,,2.08,1.11,0.71,,0.27,2002
952,Sim Theme Park,Strategy,E,PC,Electronic Arts,Bullfrog Productions,8.1,,,2.08,2.04,0.04,,,1999
953,Rock Band,Misc,T,Wii,MTV Games,Harmonix Music Systems,8.2,,,2.08,1.33,0.56,,0.2,2008
954,Portal 2,Shooter,E10,X360,Valve,Valve Software,9.6,,,2.08,1.41,0.49,0.01,0.17,2011
955,Donkey Kong Country: Tropical Freeze,Platform,E,NS,Nintendo,Retro Studios,9.1,9.1,2.08,,,,,,2018
956,Mario Party 7,Misc,E,GC,Nintendo,Hudson Soft,6,,2.08,,,,,,2005
957,Yokai Watch 3: Sushi / Tempura / Sukiyaki,Role-Playing,,3DS,Level 5,Level 5,,,2.08,,,,,,2016
958,Wipeout: The Game,Misc,E10,Wii,Activision,Endemol,,,,2.08,1.94,,,0.14,2010
959,Metal Gear Solid: Peace Walker,Action,T,PSP,Konami,Kojima Productions,8.6,,,2.08,0.46,0.42,0.96,0.25,2010
960,Spec Ops: Airborne Commando,Shooter,T,PS,Gotham Games,Big Grub,,,,2.07,1.54,0.46,,0.08,2002
961,Dance Dance Revolution: Hottest Party,Simulation,E10,Wii,Konami,Bemani,,,,2.07,1.35,0.53,,0.19,2007
962,The Sims 2: Pets,Simulation,E,DS,Electronic Arts,Maxis,4.8,,,2.07,0.92,0.93,,0.22,2006
963,Rise of the Tomb Raider,Adventure,M,PS4,Square Enix,Crystal Dynamics,,,,2.07,0.61,1.08,0.05,0.32,2016
964,UFC 2009 Undisputed,Fighting,T,X360,THQ,Yuke's Osaka,8.4,,,2.07,1.48,0.39,0,0.19,2009
965,Yu-Gi-Oh! The Eternal Duelist Soul,Strategy,E,GBA,Konami,Konami Computer Entertainment Japan,,,,2.07,1.64,0.36,,0.07,2002
966,LittleBigPlanet 3,Platform,E,PS4,Sony Computer Entertainment,Sumo Digital,,,,2.06,0.78,0.93,0.01,0.34,2014
967,Professor Layton and the Last Specter,Adventure,E10,DS,Nintendo,Level 5,8.4,,2.06,,,,,,2011
